what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341757294040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341757299059
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341757303229
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1341757304033
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1341757304040
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1341757304059
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1341757304066
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1341757304301
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1341757304304
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1341757304923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1341757305159
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341757307933
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341757309326
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1341757310540
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341757313994
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341757315817
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341757316935
opened,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341757319683
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341757320061
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341757320085
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341757320113
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341757325506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341757326332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341757332990
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341757333041
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341757334347
closed,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341757334348
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341757335063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341757337867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341757455139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341757455960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341757464926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341757466010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758193074
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341758194487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758195165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758207486
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341758208394
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341758208940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758210570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758283046
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341758285559
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1341758289784
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1341758290060
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1341758290142
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1341758290145
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1341758290306
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1341758290397
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1341758290411
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1341758290413
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1341758290502
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1341758290579
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1341758290691
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341758290705
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1341758291871
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1341758293320
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341758293453
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1341758293453
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341758294678
started,bundle,org.eclipse.gef,3.7.1.v20110830-1143,"org.eclipse.gef",1341758294805
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.I20110201-0800,"org.eclipse.ui.views.properties.tabbed",1341758294806
started,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1341758294810
started,bundle,org.eclipse.draw2d,3.7.1.v20110830-1143,"org.eclipse.draw2d",1341758294856
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1341758294901
opened,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1341758295360
activated,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1341758295753
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341758296460
closed,editor,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor",1341758296460
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341758297233
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758299105
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1341758299829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1341758299831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758299853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758301438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758315901
activated,editor,org.eclipse.ajdt.ui,2.1.3.e37x-20110628-1900,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1341758315968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341758319185
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1341758325653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1341758328657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758334615
executed,command,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui.commit",1341758335829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758335860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758336243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758337460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758344149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758502469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758503494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758597061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758597865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758982094
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758983166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758988150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341758988688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341759235477
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1341759236494
started,bundle,oracle.eclipse.tools.glassfish,4.2.0.201111040904,"oracle.eclipse.tools.glassfish",1341759236524
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341759242573
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1341759244060
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1341759244060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341759244074
