17:35:52.719 [main] INFO  design - An empty design of type 'config' by name 'config' has successfully been created.
17:35:52.746 [main] INFO  design - An empty design of type 'performanceSpace' by name '1356274766327' has successfully been created.
17:35:52.752 [main] INFO  design - An empty design of type 'poolInvestigation' by name 'investigation1' has successfully been created.
13:35:22.907 [main] INFO  space - A new design space with id 'config' and 11 parameters is getting imported.
13:35:22.920 [main] INFO  design - Set parameter 'evaluator' of instance 'config' over design space 'config' to 'javascript'.
13:35:22.920 [main] INFO  design - Set parameter 'random' of instance 'config' over design space 'config' to 'standard'.
13:35:22.921 [main] INFO  design - Set parameter 'threadSafe' of instance 'config' over design space 'config' to 'false'.
13:35:22.921 [main] INFO  design - Set parameter 'logging' of instance 'config' over design space 'config' to 'true'.
13:35:22.921 [main] INFO  design - Set parameter 'injection' of instance 'config' over design space 'config' to 'true'.
13:35:22.921 [main] INFO  design - Set parameter 'runtimeValidation' of instance 'config' over design space 'config' to 'false'.
13:35:22.921 [main] INFO  design - Set parameter 'schemaPath' of instance 'config' over design space 'config' to 'http://TheInPUT.org/'.
13:35:22.942 [main] INFO  space - A new design space with id 'performanceSpace' and 1 parameters is getting imported.
13:35:22.943 [main] INFO  design - Set parameter 'performance' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:22.943 [main] INFO  design - Set parameter 'performance.1' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:22.943 [main] INFO  design - Set parameter 'performance.1.1' of instance '1356274766327' over design space 'performanceSpace' to '2544'.
13:35:22.943 [main] INFO  design - Set parameter 'performance.1.2' of instance '1356274766327' over design space 'performanceSpace' to '1808'.
13:35:22.943 [main] INFO  design - Set parameter 'performance.1.3' of instance '1356274766327' over design space 'performanceSpace' to '2501'.
13:35:22.943 [main] INFO  design - Set parameter 'performance.2' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:22.944 [main] INFO  design - Set parameter 'performance.2.1' of instance '1356274766327' over design space 'performanceSpace' to '1263'.
13:35:22.944 [main] INFO  design - Set parameter 'performance.2.2' of instance '1356274766327' over design space 'performanceSpace' to '1154'.
13:35:22.944 [main] INFO  design - Set parameter 'performance.2.3' of instance '1356274766327' over design space 'performanceSpace' to '1041'.
13:35:22.944 [main] INFO  design - Set parameter 'performance.3' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:22.944 [main] INFO  design - Set parameter 'performance.3.1' of instance '1356274766327' over design space 'performanceSpace' to '1357'.
13:35:22.944 [main] INFO  design - Set parameter 'performance.3.2' of instance '1356274766327' over design space 'performanceSpace' to '1124'.
13:35:22.944 [main] INFO  design - Set parameter 'performance.3.3' of instance '1356274766327' over design space 'performanceSpace' to '1585'.
13:35:22.944 [main] INFO  design - Set parameter 'performance.4' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:22.944 [main] INFO  design - Set parameter 'performance.4.1' of instance '1356274766327' over design space 'performanceSpace' to '1513'.
13:35:22.944 [main] INFO  design - Set parameter 'performance.4.2' of instance '1356274766327' over design space 'performanceSpace' to '1280'.
13:35:22.945 [main] INFO  design - Set parameter 'performance.4.3' of instance '1356274766327' over design space 'performanceSpace' to '1215'.
13:35:22.945 [main] INFO  design - Set parameter 'performance.5' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:22.945 [main] INFO  design - Set parameter 'performance.5.1' of instance '1356274766327' over design space 'performanceSpace' to '1026'.
13:35:22.945 [main] INFO  design - Set parameter 'performance.5.2' of instance '1356274766327' over design space 'performanceSpace' to '1051'.
13:35:22.945 [main] INFO  design - Set parameter 'performance.5.3' of instance '1356274766327' over design space 'performanceSpace' to '1115'.
13:35:22.945 [main] INFO  design - A design for design space 'performanceSpace' with id '1356274766327' is being imported.
13:35:22.951 [main] INFO  space - A new design space with id 'poolInvestigation' and 9 parameters is getting imported.
13:35:22.951 [main] INFO  design - Set parameter 'amountTasks' of instance 'investigation1' over design space 'poolInvestigation' to '10'.
13:35:22.952 [main] INFO  design - Set parameter 'executions' of instance 'investigation1' over design space 'poolInvestigation' to '3'.
13:35:22.952 [main] INFO  design - Set parameter 'poolSize' of instance 'investigation1' over design space 'poolInvestigation' to 'null'.
13:35:22.952 [main] INFO  design - Set parameter 'poolSize.1' of instance 'investigation1' over design space 'poolInvestigation' to '1'.
13:35:22.952 [main] INFO  design - Set parameter 'poolSize.2' of instance 'investigation1' over design space 'poolInvestigation' to '2'.
13:35:22.952 [main] INFO  design - Set parameter 'poolSize.3' of instance 'investigation1' over design space 'poolInvestigation' to '8'.
13:35:22.952 [main] INFO  design - Set parameter 'poolSize.4' of instance 'investigation1' over design space 'poolInvestigation' to '9'.
13:35:22.952 [main] INFO  design - Set parameter 'poolSize.5' of instance 'investigation1' over design space 'poolInvestigation' to '10'.
13:35:22.953 [main] INFO  design - Set parameter 'task' of instance 'investigation1' over design space 'poolInvestigation' to 'someJob'.
13:35:22.953 [main] INFO  design - Set parameter 'task.someJob.firstValue' of instance 'investigation1' over design space 'poolInvestigation' to '100000000'.
13:35:22.953 [main] INFO  design - Set parameter 'task.someJob.secondValue' of instance 'investigation1' over design space 'poolInvestigation' to '4000000'.
13:35:22.953 [main] INFO  design - Set parameter 'task.someJob.option' of instance 'investigation1' over design space 'poolInvestigation' to 'some'.
13:35:22.953 [main] INFO  design - A design for design space 'poolInvestigation' with id 'investigation1' is being imported.
13:35:44.416 [main] INFO  design - Set parameter 'performance' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:44.416 [main] INFO  design - Set parameter 'performance.1' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:44.416 [main] INFO  design - Set parameter 'performance.1.1' of instance '1356274766327' over design space 'performanceSpace' to '2001'.
13:35:44.416 [main] INFO  design - Set parameter 'performance.1.2' of instance '1356274766327' over design space 'performanceSpace' to '1775'.
13:35:44.417 [main] INFO  design - Set parameter 'performance.1.3' of instance '1356274766327' over design space 'performanceSpace' to '2154'.
13:35:44.417 [main] INFO  design - Set parameter 'performance.2' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:44.417 [main] INFO  design - Set parameter 'performance.2.1' of instance '1356274766327' over design space 'performanceSpace' to '1191'.
13:35:44.417 [main] INFO  design - Set parameter 'performance.2.2' of instance '1356274766327' over design space 'performanceSpace' to '916'.
13:35:44.417 [main] INFO  design - Set parameter 'performance.2.3' of instance '1356274766327' over design space 'performanceSpace' to '1444'.
13:35:44.417 [main] INFO  design - Set parameter 'performance.3' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:44.417 [main] INFO  design - Set parameter 'performance.3.1' of instance '1356274766327' over design space 'performanceSpace' to '1201'.
13:35:44.417 [main] INFO  design - Set parameter 'performance.3.2' of instance '1356274766327' over design space 'performanceSpace' to '1896'.
13:35:44.418 [main] INFO  design - Set parameter 'performance.3.3' of instance '1356274766327' over design space 'performanceSpace' to '1230'.
13:35:44.418 [main] INFO  design - Set parameter 'performance.4' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:44.418 [main] INFO  design - Set parameter 'performance.4.1' of instance '1356274766327' over design space 'performanceSpace' to '1165'.
13:35:44.418 [main] INFO  design - Set parameter 'performance.4.2' of instance '1356274766327' over design space 'performanceSpace' to '1420'.
13:35:44.418 [main] INFO  design - Set parameter 'performance.4.3' of instance '1356274766327' over design space 'performanceSpace' to '1286'.
13:35:44.418 [main] INFO  design - Set parameter 'performance.5' of instance '1356274766327' over design space 'performanceSpace' to 'null'.
13:35:44.418 [main] INFO  design - Set parameter 'performance.5.1' of instance '1356274766327' over design space 'performanceSpace' to '1178'.
13:35:44.418 [main] INFO  design - Set parameter 'performance.5.2' of instance '1356274766327' over design space 'performanceSpace' to '1348'.
13:35:44.418 [main] INFO  design - Set parameter 'performance.5.3' of instance '1356274766327' over design space 'performanceSpace' to '1220'.
